id,title,aggregation_type,subtype,cited_by_cnt,publication_name,publisher,volume,coverDate,surname,given_name,affiliation
SCOPUS_ID:85187499239,A Comparative Study of LSTM and Temporal Convolutional Network Models for Semisubmersible Platform Wave Runup Prediction,Journal,Article,0,Journal of Offshore Mechanics and Arctic Engineering,American Society of Mechanical Engineers (ASME),147,2025-03-11,Li,Yan,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189933113,Correlation Study on Voiding in Underfill of Large Quantity Ball Grid Array Chip Using Machine Learning,Journal,Article,0,"Journal of Electronic Packaging, Transactions of the ASME",American Society of Mechanical Engineers (ASME),147,2025-03-01,Ling,Calvin,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85188582675,"Impact of coking plant to heavy metal characteristics in groundwater of surrounding areas: Spatial distribution, source apportionment and risk assessments",Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Wang,Congqing,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85188551369,Effect of surface species on the alcohol-acid adsorption from FTS wastewater on graphene: A structure-capacity study,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Liu,Xiao,"[{'affilname': 'Synfuels China Technology Co.Ltd.', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Tianjin University of Science &amp; Technology', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'affilname': 'Agency for Science, Technology and Research, Singapore', 'affiliation-city': 'Singapore City', 'affiliation-country': 'Singapore'}, {'affilname': 'Nankai University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'affilname': 'Zhejiang Normal University', 'affiliation-city': 'Jinhua', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188550820,Metabolic landscape of human alveolar type II epithelial cells undergoing epithelial-mesenchymal transition induced directly by silica exposure,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Sun,Jin,"[{'affilname': 'Sun Yat-Sen University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}, {'affilname': 'Zhongshan School of Medicine, SYSU', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}, {'affilname': 'Guangdong Provincial Laboratory of Chemistry and Fine Chemical Engineering Jieyang Center', 'affiliation-city': 'Jieyang', 'affiliation-country': 'China'}, {'affilname': 'Guangdong Province Hospital for Occupational Disease Prevention and Treatment', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188518866,Occurrence of phthalate esters in the yellow and Yangtze rivers of china: Risk assessment and source apportionment,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Miao,Qinkui,"[{'affilname': 'Nankai University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188514437,"Vacuum ammonia stripping from liquid digestate: Effects of pH, alkalinity, temperature, negative pressure and process optimization",Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Chen,Qiuhong,"[{'affilname': 'Tongji University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}, {'affilname': 'China Three Gorges Corporation', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}]"
SCOPUS_ID:85188504491,Environmental colloid behaviors of humic acid - Cadmium nanoparticles in aquatic environments,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Zheng,Ruyi,"[{'affilname': 'Guizhou University', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}, {'affilname': 'Institute of Geochemistry Chinese Academy of Sciences', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}, {'affilname': 'Auburn University', 'affiliation-city': 'Auburn', 'affiliation-country': 'United States'}]"
SCOPUS_ID:85188099786,Tailored design of novel Co0-Coδ+ dual phase nanoparticles for selective CO2 hydrogenation to ethanol,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Das,Subhasis,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85188028519,Airborne fungal communities are more susceptible to anthropogenic activities than bacteria,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Pan,Yuanyuan,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85187953565,Rainfall impacts on nonpoint nitrogen and phosphorus dynamics in an agricultural river in subtropical montane reservoir region of southeast China,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,Wang,Yuanyi,"[{'affilname': 'Nanjing University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Nanjing Institute of Geography and Limnology Chinese Academy of Sciences', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'affilname': 'The University of North Carolina at Chapel Hill', 'affiliation-city': 'Chapel Hill', 'affiliation-country': 'United States'}, {'affilname': 'Hangzhou Institute of Ecological and Environmental Sciences', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]"
SCOPUS_ID:85187799961,"Hydrogen production from dry reforming of methane, using CO2 previously chemisorbed in the Li6Zn1-xNixO4 solid solution",Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,149,2025-03-01,González-González,Yocelin B.,"['affilname', 'affiliation-city', 'affiliation-country']"
