original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,suburb,district,postcode,city,county_code,state,state_code,county,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
3680,Amravati,India,20.9316219,77.7588455,"Amravati - 444600, MH, India",Amravati,,,,444600,Amravati,,Maharashtra,MH,Amravati,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3681,Planegg,Germany,48.103742,11.4220029,"82152 Planegg, Germany",,,,,82152,Planegg,,Bavaria,,Landkreis München,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3682,,Serbia,44.1534121,20.55144,Serbia,,,,,,,,,,,Serbia,rs,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3683,Loudi,China,27.6995215,111.9890658,"Loudi, Hunan, China",,,,,,Loudi,,Hunan,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3684,Toyonaka,Japan,34.7862025,135.4737093,"Toyonaka, Osaka Prefecture, Japan",,,,,,Toyonaka,,Osaka Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3685,Lelystad,Netherlands,52.5150949,5.4768915,"Lelystad, FL, Netherlands",,,,,,Lelystad,,Flevoland,FL,,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3686,Guanghan,China,30.9818013,104.2725546,"618307 Sichuan, China",,,,,618307,Guanghan City,,Sichuan,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3687,Zaozhuang,China,34.8108822,117.3178922,"Zaozhuang, Shandong, China",,,,,,Zaozhuang,,Shandong,,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3688,Hoyo de Manzanares,Spain,40.6227334,-3.9072054,"Hoyo de Manzanares, Madrid, Spain",,,,,,Hoyo de Manzanares,,Community of Madrid,,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3689,Beja,Tunisia,36.7236241,9.1853919,"9000 Béja, Tunisia",Béja,,,,9000,Béja,,Béja,,باجة,Tunisia,tn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3690,Rajampet,India,14.1935867,79.1585757,"Rajampet - 516100, AP, India",Rajampet,,,,516100,Rajampet,,Andhra Pradesh,AP,Rajampet,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
