original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
488,Maputo,Mozambique,-25.966213,32.56745,"Maputo, Zona Sul, Mozambique",,,,,,,,Maputo,,Zona Sul,,Mozambique,mz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
489,Akita,Japan,39.7197629,140.1034669,"Akita, Japan",,,,,,,,Akita,Akita Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
490,Makkah,Saudi Arabia,21.420847,39.826869,"Makkah Al Mukarramah, Makkah Region, Saudi Arabia",,,,,,,,Makkah Al Mukarramah,,Makkah Region,,Saudi Arabia,sa,0.81,0.81,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
491,Central Jakarta,Indonesia,-6.18233995,106.84287153600738,"Central Jakarta, Special Capital Region of Jakarta, Java, Indonesia",Central Jakarta,,,,,,,Special Capital Region of Jakarta,,Java,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
492,Kubang Kerian,Malaysia,6.0940366,102.2845137,"Kota Bharu, Kubang Kerian, Kelantan, Malaysia",Kota Bharu,,Kubang Kerian,,,16150,,Kubang Kerian,,Kelantan,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
493,Perak,Malaysia,4.812181,100.9797908,"Perak, Malaysia",,,,,,,,,,Perak,,Malaysia,my,0.5,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
494,Salt Lake City,United States,40.7596198,-111.886797,"Salt Lake City, UT, United States of America",,,,,,,,Salt Lake City,Salt Lake County,Utah,UT,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
495,Laramie,United States,41.311367,-105.591101,"Laramie, WY, United States of America",,,,,,,,Laramie,Albany County,Wyoming,WY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
496,Oak Ridge,United States,36.0103562,-84.2696449,"Oak Ridge, TN, United States of America",,,,,,,,Oak Ridge,Anderson County,Tennessee,TN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
497,Criciuma,Brazil,-28.6789941,-49.3695627,"Criciúma, SC, Brazil",,,,,,,,Criciúma,,Santa Catarina,SC,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
498,Canoas,Brazil,-29.9216045,-51.1799525,"Canoas, RS, Brazil",,,,,,,,Canoas,Metropolitan Region of Porto Alegre,Rio Grande do Sul,RS,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
